D33I06	D33I07	D33I08	D33I10	D33J01	D34G04	D34G05	D34G06	D34G07	D34G09	D34G10
ATP6	45393	96347	151991	56986	220755	336505	120645	73041	190410	96692	86476
ATP8	25	48	56	64	168	254	67	68	138	139	54
COX1	204040	298418	719519	246612	760531	1609344	604265	335379	941506	399870	548081
COX2	172959	203765	386016	173014	356926	878604	261044	175734	438330	213707	212373
COX3	158350	242755	294057	154413	386065	687309	204691	148685	401136	167660	152496
CYTB	44757	70611	179990	57452	191787	299341	123799	70262	204393	88653	99343
LOC113006341	80	46	44	36	86	95	126	24	0	2	5
LOC113006342	390	247	204	221	456	675	726	175	61	397	47
LOC113006343	292	438	245	282	370	710	456	467	280	410	249
LOC113006344	588	277	1117	1435	259	689	150	1203	212	874	134
LOC113006348	0	0	0	0	2	0	0	0	0	2	0
LOC113006349	99	71	73	93	32	80	56	103	64	57	44
LOC113006350	1121	230	1063	389	345	2777	334	819	509	835	354
LOC113006361	6314	3857	6409	5269	6520	10288	7348	5364	5212	6842	2791
LOC113006370	86	57	53	48	90	232	79	70	15	51	32
LOC113006375	292	124	94	106	72	3128	450	680	72	701	234
LOC113006380	0	2	4	3	5	3	3	1	3	1	0
LOC113006382	3	3	0	4	27	39	32	10	3	11	0
LOC113006383	39	26	85	71	160	667	759	475	381	695	265
LOC113006385	7	0	0	0	1	15	7	0	0	6	0
LOC113006389	324	193	458	208	224	1932	432	401	294	633	360
LOC113006391	30	2	149	12	5	10	6	3	4	4	0
LOC113006393	4	0	0	6	9	0	3	6	0	0	1
LOC113006394	0	0	0	0	4	8	1	3	0	3	2
LOC113006395	11	3	4	34	4	62	3	11	25	10	6
LOC113006396	9	19	14	4	44	85	19	26	5	29	0
LOC113006397	6	12	1	6	12	30	17	11	5	28	3
LOC113006401	0	0	0	0	0	0	2	0	0	2	0
LOC113006404	143	104	22	134	77	279	98	102	0	265	0
LOC113006405	4	1	3	3	2	3	10	2	0	0	0
LOC113006406	6	19	3	3	47	0	0	1	0	0	0
LOC113006407	19	18	16	12	0	11	1	3	0	12	6
LOC113006413	298	210	265	116	73	142	73	207	45	215	45
LOC113006417	17	34	24	35	52	74	77	47	8	83	5
LOC113006425	22	22	6	42	19	31	28	98	96	58	65
LOC113006430	267	232	176	151	288	524	176	101	54	117	25
LOC113006431	0	20	2	25	58	104	133	23	36	82	23
LOC113006434	0	0	0	1	5	5	18	0	0	0	1
LOC113006445	0	0	0	0	0	0	0	0	0	0	0
LOC113006447	15	5	10	6	27	42	19	1	0	10	0
LOC113006448	213	184	78	136	41	533	30	151	5	120	11
LOC113006449	0	8	14	10	6	25	1	5	3	5	4
LOC113006450	72	79	154	106	44	616	242	192	47	696	65
LOC113006451	0	0	0	0	0	0	0	0	0	0	0
LOC113006458	179	162	43	95	310	437	385	93	22	174	60
LOC113006459	0	0	0	2	1	3	2	8	1	2	0
LOC113006461	189	221	399	249	591	1123	679	249	235	499	164
LOC113006463	77	86	73	64	48	406	212	127	33	351	24
