Gene stable ID	Transcript stable ID	Gene name	Transcription start site (TSS)	Gene start (bp)	Gene end (bp)	NCBI gene (formerly Entrezgene) ID	Chromosome/scaffold name
ENSACLG00000000002	ENSACLT00000000002	lto1	21631	19687	21631		1
ENSACLG00000000003	ENSACLT00000000003	fgf3	78636	78636	83577	113030404	1
ENSACLG00000000003	ENSACLT00000000004	fgf3	79235	78636	83577	113030404	1
ENSACLG00000000004	ENSACLT00000000005	fgf4	85876	85876	89781	113031092	1
ENSACLG00000000005	ENSACLT00000000006	fgf19	112150	112150	115550	113031763	1
ENSACLG00000000006	ENSACLT00000000007	zgc:153993	132415	120215	132415	113029596	1
ENSACLG00000000006	ENSACLT00000000008	zgc:153993	132415	120215	132415	113029596	1
ENSACLG00000000007	ENSACLT00000000009	ano1	155986	155986	213047	113029735	1
ENSACLG00000000007	ENSACLT00000000010	ano1	155986	155986	213047	113029735	1
ENSACLG00000000007	ENSACLT00000000011	ano1	155986	155986	213047	113029735	1
ENSACLG00000000007	ENSACLT00000000012	ano1	158570	155986	213047	113029735	1
ENSACLG00000000008	ENSACLT00000000013	fadd	215493	215493	222443	113030129	1
ENSACLG00000000009	ENSACLT00000000014		226300	218593	226300		1
ENSACLG00000000009	ENSACLT00000000015		226300	218593	226300		1
ENSACLG00000000010	ENSACLT00000000016	tlnrd1	306186	300582	306186		1
ENSACLG00000000011	ENSACLT00000000017	mtch2	334892	317131	334892	113030319	1
ENSACLG00000000011	ENSACLT00000000018	mtch2	334219	317131	334892	113030319	1
ENSACLG00000000012	ENSACLT00000000019	tollip	350355	350355	364345	113030377	1
ENSACLG00000000012	ENSACLT00000000020	tollip	352705	350355	364345	113030377	1
ENSACLG00000000013	ENSACLT00000000021	5S_rRNA	358717	358638	358717		1
ENSACLG00000000014	ENSACLT00000000022		382821	363438	382821		1
ENSACLG00000000015	ENSACLT00000000023		409727	386561	409727		1
ENSACLG00000000016	ENSACLT00000000024	snrpa1	446873	436609	446873		1
ENSACLG00000000017	ENSACLT00000000025	selenos	474413	470749	474413		1
ENSACLG00000000018	ENSACLT00000000026	chsy1	477219	477219	507265	113030618	1
ENSACLG00000000019	ENSACLT00000000027	lrrk1	602016	514825	602016	113030680	1
ENSACLG00000000019	ENSACLT00000000028	lrrk1	602016	514825	602016	113030680	1
ENSACLG00000000019	ENSACLT00000000029	lrrk1	590105	514825	602016	113030680	1
ENSACLG00000000020	ENSACLT00000000030	asb7	634770	620214	634770	113030757	1
ENSACLG00000000021	ENSACLT00000000031	lins1	636260	636260	644768	113030831	1
ENSACLG00000000022	ENSACLT00000000032	cers3a	676383	676383	693069	113031093	1
ENSACLG00000000022	ENSACLT00000000033	cers3a	678064	676383	693069	113031093	1
ENSACLG00000000023	ENSACLT00000000034	mthfs	711558	711558	719964	113031684	1
ENSACLG00000000023	ENSACLT00000000035	mthfs	711558	711558	719964	113031684	1
ENSACLG00000000023	ENSACLT00000000036	mthfs	711558	711558	719964	113031684	1
ENSACLG00000000024	ENSACLT00000000037		742894	724918	742894	113031468	1
ENSACLG00000000025	ENSACLT00000000038	adamts17	854463	743497	854482	113031360	1
ENSACLG00000000025	ENSACLT00000000039	adamts17	854482	743497	854482	113031360	1
ENSACLG00000000025	ENSACLT00000000040	adamts17	854482	743497	854482	113031360	1
ENSACLG00000000025	ENSACLT00000000041	adamts17	854482	743497	854482	113031360	1
ENSACLG00000000026	ENSACLT00000000044		17165566	17165566	17171575	113020877	4
ENSACLG00000000027	ENSACLT00000000050	asic2	6581491	6581491	6708142	113020359	4
ENSACLG00000000027	ENSACLT00000000062	asic2	6581491	6581491	6708142	113020359	4
ENSACLG00000000028	ENSACLT00000000151		20223041	20223041	20223648		18
ENSACLG00000000029	ENSACLT00000000043	gpr101	34246609	34246609	34247838		2
ENSACLG00000000030	ENSACLT00000000047	HDGFL3	37819421	37819421	37832735		1
ENSACLG00000000030	ENSACLT00000000072	HDGFL3	37819421	37819421	37832735		1
ENSACLG00000000030	ENSACLT00000000081	HDGFL3	37823436	37819421	37832735		1
ENSACLG00000000030	ENSACLT00000000085	HDGFL3	37823436	37819421	37832735		1
ENSACLG00000000031	ENSACLT00000000042	gpr84	21728888	21727665	21728888	113021710	5
ENSACLG00000000032	ENSACLT00000000045	cbr1	27887532	27884455	27887532	113034610	13
ENSACLG00000000033	ENSACLT00000000060	nom1	19691659	19691659	19702367	113029126	9
ENSACLG00000000033	ENSACLT00000000078	nom1	19691661	19691659	19702367	113029126	9
ENSACLG00000000034	ENSACLT00000000058		15365249	15365249	15366993		19
ENSACLG00000000035	ENSACLT00000000094	fah	865813	865813	886754	113031777	1
ENSACLG00000000035	ENSACLT00000000101	fah	865906	865813	886754	113031777	1
ENSACLG00000000036	ENSACLT00000000064		51780	42140	51780		LS419891.1
ENSACLG00000000037	ENSACLT00000000059	tm9sf5	34262617	34250934	34262617	113007977	2
ENSACLG00000000037	ENSACLT00000000068	tm9sf5	34262617	34250934	34262617	113007977	2
ENSACLG00000000037	ENSACLT00000000102	tm9sf5	34262617	34250934	34262617	113007977	2
ENSACLG00000000038	ENSACLT00000000046	jpt1b	17172951	17172951	17183402	113020878	4
ENSACLG00000000038	ENSACLT00000000051	jpt1b	17173481	17172951	17183402	113020878	4
ENSACLG00000000039	ENSACLT00000000048		16698748	16698748	16700270		11
ENSACLG00000000040	ENSACLT00000000121	nav1b	8019714	8019714	8061790		5
ENSACLG00000000040	ENSACLT00000000136	nav1b	8039090	8019714	8061790		5
ENSACLG00000000041	ENSACLT00000000063		29919698	29919698	29928249		17
ENSACLG00000000042	ENSACLT00000000071	cbr1	27893591	27888280	27893591		13
ENSACLG00000000043	ENSACLT00000000049		23616108	23481089	23616108		8
ENSACLG00000000043	ENSACLT00000000057		23616108	23481089	23616108		8
ENSACLG00000000044	ENSACLT00000000076		37704455	37704455	37722995	113023076	5
ENSACLG00000000045	ENSACLT00000000077		28364231	28361904	28364231		3
ENSACLG00000000046	ENSACLT00000000052	si:dkey-238d18.5	16708796	16708796	16712908	113031997	11
ENSACLG00000000046	ENSACLT00000000061	si:dkey-238d18.5	16708796	16708796	16712908	113031997	11
ENSACLG00000000047	ENSACLT00000000070	arglu1a	27929794	27918026	27929794	113007855	16
ENSACLG00000000048	ENSACLT00000000103	map7d1a	25833638	25814576	25833638		11
ENSACLG00000000049	ENSACLT00000000100	dclk1b	8649245	8649245	8665767		14
