gene_symbol	gene_id	location	start	end
rhodopsin	LOC113013042	NC_039321.1	8359611	8361117
RH2Aa	LOC113022253	NC_039306.1	15173872	15175937
RH2Ab	LOC113022256	NC_039306.1	15185496	15187269
RH2B	LOC113022254	NC_039306.1	15163687	15167069
sws1	LOC113009129	NC_039318.1	15517458	15519123
sws2a	LOC113022898	NC_039306.1	30059325	30061723
sws2b	LOC113022899	NC_039306.1	30066006	30069025
lws	LOC113022900	NC_039306.1	30074467	30076799
